date,price,1,2,3,4,5,6,7,8,9,10,11,12,13
2011-05-23,0.8030244943512964,0.06953165570015518,0.028233718560789267,-0.045553061565756,-0.018345704739063384,-0.015691436365913747,-0.027831977241622674,0.006485806221182999,0.02720735682669262,0.02072155060550962,-0.012140540875708927,-0.08522309206606893,-0.09736363294177786,-0.012140540875708927
2011-05-24,0.8384632392629809,0.09298218429736393,0.05922684872615347,-0.004239080373836135,0.01825386232544579,0.017866612493792733,0.00711600846509064,-0.003795058480675517,0.022492942699281926,0.026288001179957443,-0.010750604028702093,-0.0751155718035712,-0.0858661758322733,-0.010750604028702093
2011-05-25,0.940823248558037,0.13352020565129585,0.14647437975224653,0.09534371567605926,0.1209814270137094,0.10877646733276769,0.10241304886632308,-0.006925219297584717,0.025637711337650138,0.032562930635234855,-0.006363418466444615,-0.024743738318528163,-0.031107156784972778,-0.006363418466444615
2011-05-26,0.9815618820830732,0.11654701907700937,0.1794571743156581,0.1270259375952939,0.16144989626336936,0.13527556744277458,0.13391608997158566,-0.004045499878899128,0.03442395866807546,0.03846945854697459,-0.001359477471188919,0.018728548365765207,0.01736907089457629,-0.001359477471188919
2011-05-27,0.9509801973069667,0.048009584994497145,0.13525021956524486,0.09027312876431293,0.13070953678692054,0.09472303669841386,0.09666766937140014,-0.003188525224709471,0.04043640802260762,0.04362493324731709,0.0019446326729862795,0.04671345170391672,0.048658084376903,0.0019446326729862795
2011-05-28,0.9285935314072087,0.0005091116835568288,0.09780490221981009,0.0645776637450105,0.10849148102763606,0.0654471926273551,0.069488680663647,-0.004815414915127492,0.043913817282625556,0.04872923219775305,0.004041488036291896,0.06493808094379827,0.06897956898009017,0.004041488036291896
2011-05-29,0.9431152167334885,-0.005899598484264912,0.09586728164180125,0.07529522842624581,0.1217538323683992,0.07235279433900288,0.07859034237410478,-0.0062993440592982175,0.0464586039421534,0.052757948001451616,0.006237548035101903,0.07825239282326779,0.0844899408583697,0.006237548035101903
2011-05-30,0.9801487037291768,0.023268797477195458,0.09805722914981374,0.10631536834466315,0.15761292323588671,0.09896854025519675,0.10816422747037302,-0.00649078923842894,0.05129755489122356,0.0577883441296525,0.009195687215176274,0.07569974277800129,0.08489542999317756,0.009195687215176274
2011-05-31,0.9221619445097577,-0.022837974227560398,0.01715455363806484,0.04581982678445351,0.09813181729864284,0.037078754270465364,0.046940212232898015,-0.008425245787833546,0.05231199051418933,0.06073723630202288,0.009861457962432651,0.05991672849802576,0.06977818646045841,0.009861457962432651
2011-06-01,0.99189227439693,0.03870994024161911,0.06381580116303798,0.1121343698369951,0.1655295880782094,0.09663679042833861,0.1091434103663309,-0.009210940804777912,0.05339521824121429,0.0626061590459922,0.012506619937992292,0.0579268501867195,0.0704334701247118,0.012506619937992292
